nama,kategori,sub kategori,deskripsi,alamat,Jam Operasional buka,tutup,stasiun,Latitude ,Longitude ,google maps,gambar,mobile phone
Taman Ismail Marzuki (TIM),Wisata,"Seni, Edukasi, Plaza Terbuka, Ruang Terbuka","Taman Ismail Marzuki merupakan pusat seni dan budaya Jakarta yang menjadi ruang bertemunya seniman, komunitas, dan masyarakat. Di kawasan ini, pengunjung dapat menikmati pameran seni, pertunjukan teater, musik, hingga diskusi budaya. TIM cocok untuk keluarga yang ingin mengenalkan seni kepada anak sejak dini dalam suasana urban yang hidup. ","Jl. Cikini Raya No.8, Cikini, Menteng,",9:00,17:00,Blok M,-6.190995,106.835285,Taman Ismail Marzuki (TIM),Budaya-Seni 01-taman ismail marzuki.png,
Gedung Kesenian Jakarta,Wisata,"Budaya, Seni, Sejarah","Gedung Kesenian Jakarta adalah gedung pertunjukan bersejarah yang telah menjadi panggung seni sejak era kolonial. Berbagai konser musik, teater, dan pertunjukan budaya digelar di sini. Mengunjungi gedung ini memberikan pengalaman menikmati seni pertunjukan dalam balutan arsitektur klasik yang bersejarah. ","Jl. Gedung Kesenian No.1, Pasar. Baru",24 Jam,24 Jam,Blok M,-6.1706,106.8303,Jakarta Art Building,Budaya-Seni 02-gedung kesenian jakarta.png,
Galeri Nasional Indonesia,Wisata,"Sejarah, Museum, Budaya, Seni, Edukasi, Ruang Publik","Galeri Nasional Indonesia menampilkan karya seni rupa dari berbagai periode dan aliran. Pamerannya sering berganti, menghadirkan dialog seni yang selalu segar. Tempat ini cocok untuk wisata edukatif yang mengajak pengunjung memahami seni sebagai bagian dari kehidupan dan perkembangan budaya Indonesia. ",Jl. Medan Merdeka Tim. Gambir,10:00,18:00,Blok M,-6.1769,106.8316,National Gallery of Indonesia,Budaya-Seni 03-galeri nasional indonesia.png,
Teater Jakarta,Wisata,"Seni, Rental Kendaraan",Teater Jakarta di kawasan TIM merupakan ruang pertunjukan modern dengan fasilitas lengkap. Berbagai pertunjukan seni dan budaya digelar untuk publik. Tempat ini cocok bagi keluarga yang ingin menikmati pertunjukan seni berkualitas dalam suasana yang nyaman dan terorganisir. ,"Jl. Cikini Raya, Cikini, Menteng,",24 Jam,24 Jam,Blok M,-6.1912,106.8357,Teater Jakarta Taman Ismail Marzuki,Budaya-Seni 07-Teater Jakarta.jpg,
Art:1 New Museum,Wisata,"Museum, Seni",Art:1 New Museum menghadirkan karya seni kontemporer dari seniman Indonesia dan internasional. Museum ini menawarkan sudut pandang seni modern yang segar dan relevan dengan kehidupan masa kini. Cocok untuk pengunjung yang ingin mengenal perkembangan seni kontemporer Jakarta.,"Jl. Rajawali Selatan Raya No.3, Gunung Sahari",9:30,17:30,Blok M,-6.2147,106.8039,Art:1 New Museum,Budaya-Seni 06-Budaya & Seni-Art-1.png,
Masjid Istiqlal,Wisata,"Ruang Publik, Plaza Terbuka, Fasiltas Sosial, Fasilitas Keagamaan, Religi","Masjid Istiqlal adalah masjid terbesar di Asia Tenggara dan simbol persatuan bangsa Indonesia. Arsitekturnya yang megah mencerminkan nilai kebangsaan dan toleransi. Selain beribadah, pengunjung dapat mengikuti tur edukatif untuk memahami sejarah pembangunan masjid dan perannya dalam kehidupan sosial Jakarta. ","Jalan Taman Wijaya Kusuma, Pasar Baru",4:00,22:00,Blok M,-6.169999,106.830302,Istiqlal Mosque,Religi 01-masjid istiqlal.jpg,
Masjid Sunda Kelapa,Wisata,"Ruang Publik, Plaza Terbuka, Fasiltas Sosial, Fasilitas Keagamaan, Religi",Masjid Sunda Kelapa dikenal dengan arsitekturnya yang unik dan perannya sebagai pusat dakwah di Jakarta. Masjid ini juga memiliki nilai sejarah penting dalam perkembangan Islam di ibu kota. ,"Jl. Taman Sunda Kelapa No.16, Menteng",4:00,22:00,Blok M,-6.1996,106.833,Great Mosque of Sunda Kelapa,Religi 02-masjid agung sunda kelapa.jpg,
Gereja Katedral Jakarta,Wisata,"Fasiltas Sosial, Fasilitas Keagamaan, Religi, Ruang Publik",Gereja Katedral Jakarta berdiri anggun dengan arsitektur neo-gotik yang khas. Gereja ini menyimpan sejarah panjang komunitas Katolik di Jakarta. Letaknya yang berseberangan dengan Masjid Istiqlal menjadi simbol nyata toleransi dan keberagaman di ibu kota. ,"Jl. Katedral No.7B, Pasar Baru",8:00,20:00,Blok M,-6.1696,106.8335,Gereja Katedral Jkt,Religi 04-gereja katedral.jpg,
Gereja Sion,Wisata,"Fasiltas Sosial, Fasilitas Keagamaan, Religi, Ruang Publik",Gereja Sion merupakan gereja tertua di Jakarta yang masih berdiri hingga kini. Bangunan ini menyimpan sejarah panjang komunitas Kristen sejak masa kolonial. Cocok untuk wisata religi sekaligus sejarah. ,"Jl. Pangeran Jayakarta No.1, Pinangsia, Taman Sari",24 Jam,24 Jam,Blok M,-6.1359,106.8136,Sion Church,Religi 05-gereja-sion.jpg,
Vihara Dharma Bhakti,Wisata,"Fasiltas Sosial, Fasilitas Keagamaan, Religi, Ruang Publik",Vihara Dharma Bhakti adalah vihara tertua di Jakarta yang terletak di kawasan Pecinan. Tempat ini menjadi pusat aktivitas keagamaan dan ,"Petak Sembilan, Jl. Kemenangan III No.19 3, Glodok",6:00,16:00,Blok M,-6.1381,106.8118,Dharma Bakti Temple,Religi 06-Vihara Bahtera Bhakti.jpg,
Masjid Al-Bina (GBK),Wisata,"Ruang Publik, Fasiltas Sosial, Fasilitas Keagamaan, Religi, Olah Raga",Masjid Al-Bina terletak di kawasan Gelora Bung Karno dan sering digunakan untuk kegiatan keagamaan dan sosial. Lingkungannya yang terbuka dan modern menjadikannya tempat ibadah yang nyaman sekaligus ruang berkumpul masyarakat. ,"Jl. Pintu Satu Senayan, Gelora, Tanah Abang",24 Jam,24 Jam,Blok M,-6.2189,106.8029,Jami' Al-Bina Mosque,Religi 03-masjid albina.jpg,
Gelora Bung Karno (GBK),Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Plaza Terbuka, Infastruktur Pejalan, Fasiltas Sosial, Alam","Kawasan GBK adalah ruang publik terbesar di Jakarta yang menyatukan olahraga, rekreasi, dan hiburan. Setiap hari, area ini dipenuhi warga yang berolahraga, berjalan santai, atau berkumpul bersama keluarga. GBK menjadi ruang kota yang hidup dan inklusif. ","Jl. Pintu Satu Senayan, Gelora, Tanah Abang",24 Jam,24 Jam,Blok M,-6.2187,106.802,Gelora Bung Karno Main Stadium,Alam-Ruang-Terbuka 02-GBK.jpg,
Hutan Kota GBK,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Plaza Terbuka, Infastruktur Pejalan, Alam","Hutan Kota GBK menghadirkan ruang hijau di tengah padatnya kota. Tempat ini cocok untuk berjalan santai, bersantai, dan menikmati suasana alam tanpa harus keluar Jakarta. ","Jl. Jenderal Sudirman, Gelora, Tanah Abang",6:00,18:00,Blok M,-6.2242,106.8018,Hutan Kota GBK,Alam-Ruang-Terbuka 03-Hutan Kota GBK.jpg,
Taman Suropati,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Fasiltas Sosial, Alam, Rekreasi","Taman Suropati menawarkan suasana tenang di kawasan Menteng. Dikelilingi pepohonan rindang, taman ini sering menjadi ruang berkumpul komunitas seni dan warga yang ingin beristirahat dari hiruk pikuk kota. ","Jl. Taman Suropati No.5, Menteng",6:30,17:00,Blok M,-6.1992,106.8345,Suropati Park,Alam-Ruang-Terbuka 04-Taman-Suropati.jpg,
Taman Menteng,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Fasiltas Sosial, Alam, Rekreasi","Taman Menteng adalah taman kota modern dengan fasilitas olahraga dan area terbuka. Cocok untuk rekreasi keluarga, bermain anak, dan aktivitas luar ruang di tengah kota.","Jl. HOS. Cokroaminoto, Menteng",24 Jam,24 Jam,Blok M,-6.1972,106.834,Menteng Park,Alam-Ruang-Terbuka 05-Taman-Menteng.jpg,
Taman Lapangan Banteng,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Fasiltas Sosial, Alam, Rekreasi",Lapangan Banteng merupakan taman kota dengan nilai sejarah dan ruang publik yang luas. Tempat ini sering digunakan untuk acara budaya dan kegiatan masyarakat. ,"Jl. Lapangan Banteng Timur, Pasar. Baru",24 Jam,24 Jam,Blok M,-6.1704,106.8363,Lapangan Banteng Park,Alam-Ruang-Terbuka 06-lapangan banteng.jpg,
Tebet Eco Park,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Fasiltas Sosial, Alam, Rekreasi","Tebet Eco Park adalah taman kota dengan konsep edukasi lingkungan. Jalur pejalan kaki, area bermain, dan ruang hijau menjadikannya tempat favorit keluarga untuk belajar dan bersantai. ","Jl. Tebet Barat Raya, Tebet",6:00,22:00,Blok M,-6.2393,106.8496,Tebet Eco Park,Alam-Ruang-Terbuka 07-Tebet-Eco-Park.jpg,
Pantai Ancol,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Fasiltas Sosial, Alam, Keluarga, Rekreasi","Pantai Ancol menghadirkan pengalaman wisata pantai di dalam kota. Tempat ini menjadi favorit keluarga untuk menikmati laut, matahari terbenam, dan berbagai aktivitas rekreasi. ","Jl. Lodan Timur No.7, Ancol",6:00,0:00,Blok M,-6.1239,106.8319,Ancol beach,Alam-Ruang-Terbuka 08-ancol.jpg,
Hutan Mangrove PIK,Wisata,"Ruang Terbuka, Alam",Hutan Mangrove PIK menawarkan wisata alam sekaligus edukasi lingkungan pesisir. Pengunjung dapat belajar tentang ekosistem mangrove dan perannya dalam menjaga keseimbangan alam. ,"Jalan Katamaran Indah 1, Kapuk Muara, Penjaringan",7:00,17:30,Blok M,-6.1036,106.7366,Mangrove Ecotourism Centre PIK,Alam-Ruang-Terbuka 09-Mangrove-PIK.jpg,
Kepulauan Seribu (Pulau Tidung),Wisata,"Ruang Terbuka, Alam, Rekreasi, Plaza Terbuka","Kepulauan Seribu menawarkan wisata bahari dengan pantai dan laut yang jernih. Cocok untuk liburan keluarga, wisata alam, dan edukasi kelautan di sekitar Jakarta.","Pulau Tidung, Kepulauan Seribu",24 Jam,24 Jam,Blok M,-5.803,106.523,Pulau Tidung,Alam-Ruang-Terbuka 10-Kepulauan Seribu (Pulau Tidung).jpg,
Taman Impian Jaya Ancol,Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Plaza Terbuka, Fasiltas Sosial, Alam, Rekreasi","Ancol Dreamland adalah kawasan wisata terpadu terbesar di Jakarta. Pantai, taman hiburan, dan wahana edukasi menjadikannya destinasi lengkap untuk liburan keluarga sepanjang hari","Jl. Lodan Timur No.7, Ancol",6:00,23:00,Blok M,-6.1256,106.8364,Ancol Taman Impian,Keluarga-Rekreasi 01-ancol-dreamland.png,
Dunia Fantasi (Dufan),Wisata,"Ruang Terbuka, Ruang Publik, Keluarga, Rekreasi, Edukasi, Olah Raga",Dufan adalah taman hiburan ikonik Jakarta dengan berbagai wahana untuk segala usia. Tempat ini lekat dengan memori liburan keluarga lintas generasi. ,"Jl. Lodan Timur No.7, Ancol",10:00,18:00,Blok M,-6.1247,106.8336,Dufan Ancol,Keluarga-Rekreasi 02-dufan.png,
Sea World Ancol,Wisata,"Museum, Alam, Keluarga, Rekreasi, Edukasi, Ruang Terbuka",Sea World Ancol menghadirkan dunia bawah laut melalui akuarium raksasa dan pertunjukan edukatif. Cocok untuk anak-anak yang ingin belajar tentang kehidupan laut. ,"Jl. Lodan Timur No.7, Ancol",9:00,16:30,Blok M,-6.1234,106.8353,Sea World Ancol,Keluarga-Rekreasi 03-SeaWorld.png,
Atlantis Water Adventure,Wisata,"Museum, Alam, Keluarga, Rekreasi, Edukasi, Ruang Terbuka",Atlantis Water Adventure adalah taman bermain air keluarga dengan berbagai wahana. Tempat ini menjadi pilihan rekreasi seru di Jakarta. ,"Jl. Lodan Timur No.7, Ancol",9:00,17:30,Blok M,-6.1239,106.8342,Atlantis Water Adventures Ancol,Keluarga-Rekreasi 04-atlantis.png,
Faunaland Ancol,Wisata,"Museum, Alam, Keluarga, Rekreasi, Edukasi, Ruang Terbuka",Faunaland menggabungkan kebun binatang mini dengan edukasi satwa. Pengunjung dapat mengenal berbagai hewan dalam suasana yang ramah keluarga. ,"Jl. Lodan Timur No.7, Ancol",9:00,16:00,Blok M,-6.1219,106.8387,Faunaland Ancol,Keluarga-Rekreasi 06-faunaland.png,
Taman Mini Indonesia Indah (TMII),Wisata,"Ruang Terbuka, Olah Raga, Ruang Publik, Plaza Terbuka, Fasiltas Sosial, Sejarah, Budaya, Seni, Keluarga, Rekreasi, Edukasi","TMII menghadirkan miniatur Indonesia dalam satu kawasan. Rumah adat, museum, dan taman tematik menjadikannya destinasi edukatif yang lengkap untuk keluarga. ","Jl. Taman Mini Indonesia Indah, Ceger, Cipayung",5:00,20:00,Blok M,-6.3024,106.8956,Taman Mini Indonesia Indah,Keluarga-Rekreasi 08-taman mini.png,
Jakarta Aquarium,Wisata,"Museum, Alam, Keluarga, Rekreasi, Edukasi, Ruang Terbuka",Jakarta Aquarium menghadirkan pengalaman edukasi laut modern dengan teknologi interaktif. Cocok untuk keluarga yang ingin belajar sambil menikmati hiburan.,"Central Park Mall 2. Letjen S. Parman No.28, Tanjung. Duren",10:00,20:30,Blok M,-6.1758,106.7919,Jakarta Aquarium,Keluarga-Rekreasi 07-jakarta quarium.png,
 Perpustakaan Nasional RI,Wisata,Edukasi,Perpustakaan Nasional RI adalah pusat literasi modern dengan koleksi terbesar di Indonesia. Gedungnya menjadi ruang belajar publik yang nyaman dan inklusif bagi semua usia. ,"Jl. Salemba Raya No.28A, Senen",8:00,19:00,Blok M,-6.1816,106.8327,National Library of Indonesia Salemba,Edukasi 06-perpustakaan nasional.jpg,
Planetarium Jakarta,Wisata,Edukasi,Planetarium Jakarta memperkenalkan ilmu astronomi melalui pertunjukan visual yang menarik. Tempat ini cocok untuk keluarga dan pelajar yang ingin belajar sains dengan cara menyenangkan. ,"Jl. Cikini Raya No.73, Cikini, Menteng",8:00,17:00,Blok M,-6.1898,106.8339,Planetarium & Observatorium Jakarta,Edukasi 02-planetarium.jpg,
KidZania Jakarta,Wisata,"Keluarga, Edukasi",KidZania menghadirkan konsep belajar melalui bermain. Anak-anak dapat mengenal berbagai profesi dalam kota mini yang interaktif dan edukatif.,"Pacific Place Mall, Jl. Jenderal Sudirman No.52-53, Senayan",9:00,19:00,Blok M,-6.2247,106.8089,Kidzania Jakarta,Edukasi 03-kidzania.jpg,
Science Center TMII,Wisata,Edukasi,Science Center TMII menyajikan edukasi sains interaktif yang dirancang untuk pelajar dan keluarga. Belajar ilmu pengetahuan terasa lebih hidup dan mudah dipahami. ,"Jl. Taman Mini Indonesia Indah, Ceger, Cipayung",8:30,16:00,Blok M,-6.3036,106.8963,Indonesia science center,Edukasi 04-science-center.jpg,
Museum IPTEK TMII,Wisata,"Sejarah, Museum, Edukasi",Museum IPTEK memperkenalkan ilmu pengetahuan dan teknologi melalui pameran interaktif. Cocok untuk keluarga yang ingin mengenalkan sains dan teknologi sejak dini.,"Jl. Taman Mini Indonesia Indah, Ceger, Cipayung",8:30,16:00,Blok M,-6.303,106.8959,Indonesia Science Center (PP-IPTEK),Edukasi 05-Museum-Iptek.jpg,
